Team_1,Team_2,Team_1_Performance,Team_2_Performance,Team_1_Win_Prob,Team_2_Win_Prob,Favorite,Favorite_Prob
Bilibili Gaming,Gen.G eSports,0.6821171617910393,0.7408074849252496,0.42882391865596964,0.5711760813440303,Gen.G eSports,0.5711760813440303
Bilibili Gaming,G2 Esports,0.6821171617910393,0.6752845992844746,0.5078327169207035,0.49216728307929647,Bilibili Gaming,0.5078327169207035
Bilibili Gaming,FlyQuest,0.6821171617910393,0.7846050182449538,0.37070619849732156,0.6292938015026784,FlyQuest,0.6292938015026784
Bilibili Gaming,CTBC Flying Oyster,0.6821171617910393,0.7010161738724398,0.47785875767794556,0.5221412423220544,CTBC Flying Oyster,0.5221412423220544
Bilibili Gaming,Anyone s Legend,0.6821171617910393,0.6506530540613797,0.5353428444754561,0.4646571555245439,Bilibili Gaming,0.5353428444754561
Bilibili Gaming,Hanwha Life eSports,0.6821171617910393,0.6627921695589496,0.5219250633885102,0.4780749366114898,Bilibili Gaming,0.5219250633885102
Bilibili Gaming,Movistar KOI,0.6821171617910393,0.6217585659831414,0.5662333115714373,0.4337666884285627,Bilibili Gaming,0.5662333115714373
Bilibili Gaming,Vivo Keyd Stars,0.6821171617910393,0.6817133226506247,0.500465452191195,0.499534547808805,Bilibili Gaming,0.500465452191195
Bilibili Gaming,Team Secret Whales,0.6821171617910393,0.6611429215988842,0.5237638168084832,0.47623618319151684,Bilibili Gaming,0.5237638168084832
Bilibili Gaming,Top Esports,0.6821171617910393,0.6972566626596235,0.4823199606800074,0.5176800393199926,Top Esports,0.5176800393199926
Bilibili Gaming,Invictus Gaming,0.6821171617910393,0.5894720393631863,0.5991045143946141,0.4008954856053859,Bilibili Gaming,0.5991045143946141
Bilibili Gaming,KT Rolster,0.6821171617910393,0.5247257981613213,0.6602782911999727,0.3397217088000273,Bilibili Gaming,0.6602782911999727
Bilibili Gaming,Fnatic,0.6821171617910393,0.5846457020075666,0.6038766763987212,0.3961233236012788,Bilibili Gaming,0.6038766763987212
Bilibili Gaming,100 Thieves,0.6821171617910393,0.6747715027358258,0.508417314117079,0.491582685882921,Bilibili Gaming,0.508417314117079
Bilibili Gaming,PSG Talon,0.6821171617910393,0.6295472961641422,0.5580479136174346,0.44195208638256545,Bilibili Gaming,0.5580479136174346
Bilibili Gaming,T1,0.6821171617910393,0.6645660974181795,0.5199417001630877,0.4800582998369123,Bilibili Gaming,0.5199417001630877
Gen.G eSports,G2 Esports,0.7408074849252496,0.6752845992844746,0.5788330000135494,0.4211669999864506,Gen.G eSports,0.5788330000135494
Gen.G eSports,FlyQuest,0.7408074849252496,0.7846050182449538,0.4396611773362233,0.5603388226637767,FlyQuest,0.5603388226637767
Gen.G eSports,CTBC Flying Oyster,0.7408074849252496,0.7010161738724398,0.5493459011470728,0.4506540988529272,Gen.G eSports,0.5493459011470728
